Date,Team 1,Team 2,Goals1,Goals2,Elo1,Elo2,Stage
2002-06-22,Spain,Korea Republic,0,0,1618.0421930345733,1424.1795606874582,Quarter-finals
2002-06-25,Germany,Korea Republic,1,0,1661.5011956443236,1432.2832128548896,Semi-finals
2002-06-26,Brazil,Türkiye,1,0,1800.4154943916492,1534.8331459650592,Semi-finals
2002-06-29,Korea Republic,Türkiye,2,3,1425.5342840173628,1529.1317972440233,Third-place match
2002-06-30,Germany,Brazil,0,2,1668.2501244818504,1806.116843112685,Final
2006-06-09,Poland,Ecuador,0,2,1526.70074956584,1495.3022388004124,Group stage
2006-06-09,Germany,Costa Rica,4,2,1653.303360231199,1507.1172867946464,Group stage
2006-06-10,Argentina,Côte d'Ivoire,2,1,1641.1980838133181,1500.0,Group stage
2006-06-10,Trinidad and Tobago,Sweden,0,0,1500.0,1565.9412297412996,Group stage
2006-06-10,England,Paraguay,1,0,1669.8327112303457,1482.3524457162525,Group stage
2006-06-11,Serbia and Montenegro,Netherlands,0,1,1500.0,1620.1717842207108,Group stage
2006-06-11,Angola,Portugal,0,1,1500.0,1554.9495878565797,Group stage
2006-06-11,Mexico,IR Iran,3,1,1483.0413240396024,1439.472421519972,Group stage
2006-06-12,United States,Czech Republic,0,3,1400.4084475295172,1500.0,Group stage
2006-06-12,Australia,Japan,3,1,1462.7685292024719,1485.0198946192104,Group stage
2006-06-12,Italy,Ghana,2,0,1683.4139209420598,1500.0,Group stage
2006-06-13,Brazil,Croatia,1,0,1821.0636073633366,1569.3213739972896,Group stage
2006-06-13,France,Switzerland,0,0,1659.3475036287891,1386.8974532531188,Group stage
2006-06-13,Korea Republic,Togo,2,1,1414.1685879192532,1500.0,Group stage
2006-06-14,Germany,Poland,1,0,1667.7617219923588,1500.5377027059694,Group stage
2006-06-14,Tunisia,Saudi Arabia,2,2,1438.5169027380566,1398.0503865392554,Group stage
2006-06-14,Spain,Ukraine,4,0,1609.938540867142,1500.0,Group stage
2006-06-15,Sweden,Paraguay,1,0,1562.940468603672,1474.2355479791927,Group stage
2006-06-15,England,Trinidad and Tobago,2,0,1677.9496089674055,1503.0007611376277,Group stage
2006-06-15,Ecuador,Costa Rica,3,0,1521.465285660283,1492.6589250334864,Group stage
2006-06-16,Argentina,Serbia and Montenegro,6,0,1651.0314864684003,1489.3234979432407,Group stage
2006-06-16,Netherlands,Côte d'Ivoire,2,1,1630.8482862774702,1490.1665973449178,Group stage
2006-06-16,Mexico,Angola,0,0,1504.0473682712175,1486.509631677988,Group stage
2006-06-17,Portugal,IR Iran,2,0,1568.4399561785917,1418.4663772883569,Group stage
2006-06-17,Italy,United States,1,1,1695.803198488215,1380.2217436460617,Group stage
2006-06-17,Czech Republic,Ghana,0,2,1520.1867038834555,1487.6107224538448,Group stage
2006-06-18,Japan,Croatia,0,0,1459.4849228449855,1563.2371109766,Group stage
2006-06-18,France,Korea Republic,1,1,1648.8659658627182,1434.0427753485037,Group stage
2006-06-18,Brazil,Australia,2,0,1827.1478703840262,1488.3035009766968,Group stage
2006-06-19,Spain,Tunisia,3,1,1632.1377714972189,1436.6617321337435,Group stage
2006-06-19,Saudi Arabia,Ukraine,0,4,1399.9055571435686,1477.800769369923,Group stage
2006-06-19,Togo,Switzerland,0,2,1480.1258125707495,1397.3789910191897,Group stage
2006-06-20,Sweden,England,2,2,1574.9419615458373,1690.7920286437102,Group stage
2006-06-20,Paraguay,Trinidad and Tobago,2,0,1462.2340550370272,1490.158341461323,Group stage
2006-06-20,Ecuador,Germany,0,3,1547.149072294806,1676.605055335654,Group stage
2006-06-20,Costa Rica,Poland,1,2,1466.9751383989633,1491.6943693626743,Group stage
2006-06-21,Portugal,Mexico,2,1,1582.6789991793332,1503.2404109122442,Group stage
2006-06-21,Netherlands,Argentina,0,0,1640.7019489136167,1673.6514107075711,Group stage
2006-06-21,Côte d'Ivoire,Serbia and Montenegro,3,2,1480.3129347087713,1466.7035737040699,Group stage
2006-06-21,IR Iran,Angola,1,1,1404.2273342876153,1487.3165890369612,Group stage
2006-06-22,Croatia,Australia,2,2,1558.5962824518558,1482.327791601209,Group stage
2006-06-22,Japan,Brazil,1,4,1464.1257513697296,1833.123579759514,Group stage
2006-06-22,Czech Republic,Italy,0,2,1493.9430058627347,1684.2780269976695,Group stage
2006-06-22,Ghana,United States,2,1,1513.8544204745656,1391.7469151366072,Group stage
2006-06-23,Switzerland,Korea Republic,2,0,1426.989262045804,1442.8419888902317,Group stage
2006-06-23,Togo,France,0,2,1450.5155415441352,1640.0667523209902,Group stage
2006-06-23,Ukraine,Tunisia,1,0,1502.7441957301253,1424.8998763388777,Group stage
2006-06-23,Saudi Arabia,Spain,0,1,1374.9621307833663,1643.8996272920847,Group stage
2006-06-24,Germany,Sweden,2,0,1694.629564252902,1580.0877428359495,Round of 16
2006-06-24,Argentina,Mexico,2,1,1672.1385646614956,1490.836249957353,Round of 16
2006-06-25,Portugal,Netherlands,1,0,1595.0831601342245,1642.2147949596922,Round of 16
2006-06-25,England,Ecuador,1,0,1685.646247353598,1529.1245633775582,Round of 16
2006-06-26,Switzerland,Ukraine,0,0,1452.0835703140717,1515.2181387140163,Round of 16
2006-06-26,Italy,Australia,1,0,1696.3046491463044,1485.7847348887008,Round of 16
2006-06-27,Spain,France,1,3,1649.5110420068877,1652.1340879919262,Round of 16
2006-06-27,Brazil,Ghana,3,0,1839.1029394066513,1524.451795086729,Round of 16
2006-06-30,Italy,Ukraine,3,0,1703.6446130260333,1512.3422693031157,Quarter-finals
2006-06-30,Germany,Argentina,1,1,1710.9920132230855,1680.4727857366463,Quarter-finals
2006-07-01,Brazil,France,0,1,1846.9700315789214,1675.9528978369322,Quarter-finals
2006-07-01,England,Portugal,0,0,1694.8892147600752,1613.2404352631843,Quarter-finals
2006-07-04,Germany,Italy,0,2,1709.5901546367172,1717.617199448376,Semi-finals
2006-07-05,Portugal,France,0,1,1616.9327772434249,1699.2486112658653,Semi-finals
2006-07-08,Germany,Portugal,3,1,1686.1445446110813,1604.6541893508256,Third-place match
2006-07-09,Italy,France,1,1,1741.0628094740118,1711.5271991584646,Final
2010-06-11,South Africa,Mexico,1,1,1488.6986432605727,1482.5020288822022,Group stage
2010-06-11,Uruguay,France,0,0,1445.1231430865723,1712.8840971963286,Group stage
2010-06-12,England,United States,1,1,1691.1968727798346,1381.1495405244439,Group stage
2010-06-12,Argentina,Nigeria,1,0,1681.8746443230145,1479.9353847673,Group stage
2010-06-12,Korea Republic,Greece,2,0,1417.747680621964,1419.4280099404375,Group stage
2010-06-13,Germany,Australia,4,0,1704.6163934850385,1478.4447710089719,Group stage
2010-06-13,Serbia,Ghana,0,1,1500.0,1516.5847029144588,Group stage
2010-06-13,Algeria,Slovenia,0,1,1478.7615086133287,1441.4969270790132,Group stage
2010-06-14,Italy,Paraguay,1,1,1739.7059114361477,1488.1588536191628,Group stage
2010-06-14,Japan,Cameroon,1,0,1458.1463917225924,1461.313261851453,Group stage
2010-06-14,Netherlands,Denmark,2,0,1624.0575198307324,1579.5082902691036,Group stage
2010-06-15,Brazil,Korea DPR,2,1,1823.6743181499883,1479.7311971662427,Group stage
2010-06-15,Côte d'Ivoire,Portugal,0,0,1495.6865208216907,1586.1823404768684,Group stage
2010-06-15,New Zealand,Slovakia,1,1,1440.6955691462456,1500.0,Group stage
2010-06-16,Honduras,Chile,0,1,1483.2199562231194,1457.7483653521972,Group stage
2010-06-16,South Africa,Uruguay,0,3,1488.413308876762,1455.4803192310587,Group stage
2010-06-16,Spain,Switzerland,0,1,1625.6922321618817,1454.9594397249723,Group stage
2010-06-17,Greece,Nigeria,2,1,1395.3119378082315,1472.3123020167816,Group stage
2010-06-17,France,Mexico,0,2,1702.5269210518422,1482.787363266013,Group stage
2010-06-17,Argentina,Korea Republic,4,1,1689.497727073533,1441.86375275417,Group stage
2010-06-18,England,Algeria,0,0,1679.7957337967646,1461.051961660191,Group stage
2010-06-18,Slovenia,United States,2,2,1459.206474032151,1392.550679507514,Group stage
2010-06-18,Germany,Serbia,0,1,1718.3019786090294,1484.7631742275516,Group stage
2010-06-19,Cameroon,Denmark,1,2,1445.167426131248,1558.5688871528994,Group stage
2010-06-19,Ghana,Australia,1,1,1531.8215286869072,1464.759185884981,Group stage
2010-06-19,Netherlands,Japan,1,0,1644.9969229469366,1474.2922274427974,Group stage
2010-06-20,Brazil,Côte d'Ivoire,3,1,1827.5568765686694,1499.762250892388,Group stage
2010-06-20,Italy,New Zealand,1,1,1729.795712468287,1443.400420736481,Group stage
2010-06-20,Slovakia,Paraguay,0,2,1497.2951484097648,1498.0690525870234,Group stage
2010-06-21,Portugal,Korea DPR,7,0,1582.106610406171,1475.8486387475616,Group stage
2010-06-21,Spain,Honduras,2,0,1602.4068944201142,1466.0490431769113,Group stage
2010-06-21,Chile,Switzerland,1,0,1474.9192783984054,1478.2447774667398,Group stage
2010-06-22,Nigeria,Korea Republic,2,2,1452.8232427329956,1431.0108704492307,Group stage
2010-06-22,France,South Africa,1,2,1665.0930488438164,1457.7671439321696,Group stage
2010-06-22,Mexico,Uruguay,0,1,1520.2212354740388,1486.126484175651,Group stage
2010-06-22,Greece,Argentina,0,2,1414.8009970920175,1700.3506093784724,Group stage
2010-06-23,Australia,Serbia,2,1,1467.8097298775663,1510.1457535868278,Group stage
2010-06-23,Ghana,Germany,0,1,1528.770984694322,1692.9193992497533,Group stage
2010-06-23,United States,Algeria,1,0,1395.5831778117429,1469.976336168654,Group stage
2010-06-23,Slovenia,England,0,1,1456.173975727922,1670.8713592883016,Group stage
2010-06-24,Paraguay,New Zealand,0,0,1522.0155932687799,1454.2389797604992,Group stage
2010-06-24,Cameroon,Netherlands,1,2,1434.211880410509,1653.7126108895084,Group stage
2010-06-24,Denmark,Japan,1,3,1569.5244328736385,1465.5765395002256,Group stage
2010-06-24,Slovakia,Italy,3,2,1473.3486077280083,1718.957153444269,Group stage
2010-06-25,Portugal,Brazil,0,0,1613.0543034673244,1833.8733906282757,Group stage
2010-06-25,Korea DPR,Côte d'Ivoire,0,3,1444.9009456864082,1493.4457368327817,Group stage
2010-06-25,Switzerland,Honduras,0,0,1462.0916372517115,1451.0127350250712,Group stage
2010-06-25,Chile,Spain,1,2,1491.0724186134337,1617.4432025719543,Group stage
2010-06-26,United States,Ghana,1,2,1414.9576950379512,1519.8139043595163,Round of 16
2010-06-26,Uruguay,Korea Republic,2,1,1503.6915847450744,1432.0140496635252,Round of 16
2010-06-27,Argentina,Mexico,3,1,1708.1244335999281,1502.6561349046156,Round of 16
2010-06-27,Germany,England,4,1,1701.8764795845589,1678.0761879175586,Round of 16
2010-06-28,Brazil,Chile,3,0,1824.8833971862305,1480.6482637235863,Round of 16
2010-06-28,Netherlands,Slovakia,2,1,1660.7642514389154,1499.0884587957141,Round of 16
2010-06-29,Spain,Portugal,1,0,1627.8673574618017,1622.0442969093697,Round of 16
2010-06-29,Paraguay,Japan,0,0,1518.9333640611874,1496.5501617621876,Round of 16
2010-07-02,Uruguay,Ghana,1,1,1516.4367585994507,1531.1265541585428,Quarter-finals
2010-07-02,Netherlands,Brazil,2,1,1669.8134239411133,1831.6678453059344,Quarter-finals
2010-07-03,Paraguay,Spain,0,1,1517.904003214084,1643.5992207195275,Quarter-finals
2010-07-03,Argentina,Germany,0,4,1719.3830447985263,1727.9613973481507,Quarter-finals
2010-07-06,Uruguay,Netherlands,2,3,1517.1128458634091,1692.7709236103467,Semi-finals
2010-07-07,Germany,Spain,0,1,1759.1714623935397,1654.050726804233,Semi-finals
2010-07-10,Uruguay,Germany,2,3,1508.5768105658242,1738.4729783060475,Third-place match
2010-07-11,Netherlands,Spain,0,1,1701.3069589079316,1674.7492108917252,Final
2014-06-12,Brazil,Croatia,3,1,1808.710345636701,1555.139339164364,Group stage
2014-06-13,Chile,Australia,3,1,1473.8638156038824,1485.7497832608233,Group stage
2014-06-13,Spain,Netherlands,1,5,1691.96986389673,1684.0863059029268,Group stage
2014-06-13,Mexico,Cameroon,1,0,1491.3975237060174,1427.160239861102,Group stage
2014-06-14,Côte d'Ivoire,Japan,2,1,1517.5587506725449,1497.579522609291,Group stage
2014-06-14,England,Italy,1,2,1651.9912701539668,1693.217302376563,Group stage
2014-06-14,Uruguay,Costa Rica,1,3,1501.8486489355062,1452.1115841411768,Group stage
2014-06-14,Colombia,Greece,3,0,1442.6923694793643,1407.0271728705618,Group stage
2014-06-15,Argentina,Bosnia and Herzegovina,2,1,1688.1729797531373,1500.0,Group stage
2014-06-15,France,Honduras,3,0,1640.5375289178019,1451.522764469373,Group stage
2014-06-15,Switzerland,Ecuador,2,1,1461.5816078074097,1519.881595971081,Group stage
2014-06-16,Germany,Portugal,4,0,1745.2011399363655,1606.312433651644,Group stage
2014-06-16,IR Iran,Nigeria,0,0,1407.982419443667,1451.820063518701,Group stage
2014-06-16,Ghana,United States,1,2,1530.4504668945845,1403.6450452389247,Group stage
2014-06-17,Russia,Korea Republic,1,1,1493.1738679472564,1419.2688758091488,Group stage
2014-06-17,Brazil,Mexico,0,0,1817.759185138459,1504.4725411731442,Group stage
2014-06-17,Belgium,Algeria,2,1,1479.0540095440153,1450.6018189424456,Group stage
2014-06-18,Cameroon,Croatia,0,4,1414.085222393975,1546.090499662606,Group stage
2014-06-18,Spain,Chile,0,2,1659.2438859620818,1498.684549001876,Group stage
2014-06-18,Australia,Netherlands,2,3,1460.9290498628297,1716.812283837575,Group stage
2014-06-19,Japan,Greece,0,0,1482.4985872303557,1381.8913945333936,Group stage
2014-06-19,Uruguay,England,2,1,1474.436213111242,1637.8809387345727,Group stage
2014-06-19,Colombia,Côte d'Ivoire,2,1,1467.8281478165325,1532.63968605148,Group stage
2014-06-20,Honduras,Ecuador,1,2,1437.411635904453,1501.2217005642774,Group stage
2014-06-20,Switzerland,France,2,5,1480.2415032142133,1654.6486574827218,Group stage
2014-06-20,Italy,Costa Rica,0,1,1707.3276337959571,1479.5240199654409,Group stage
2014-06-21,Argentina,IR Iran,1,0,1696.26574435972,1409.9905721873079,Group stage
2014-06-21,Germany,Ghana,2,2,1765.0495139945933,1508.8570444804857,Group stage
2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,1449.8119107750601,1491.907235393417,Group stage
2014-06-22,United States,Portugal,2,2,1425.2384676530235,1586.464059593416,Group stage
2014-06-22,Korea Republic,Algeria,2,4,1422.6219057893718,1435.909169552974,Group stage
2014-06-22,Belgium,Russia,1,0,1493.746658933487,1489.8208379670334,Group stage
2014-06-23,Cameroon,Brazil,1,4,1393.6902419754779,1806.2851022348673,Group stage
2014-06-23,Croatia,Mexico,1,3,1566.485480081103,1515.946624076736,Group stage
2014-06-23,Netherlands,Chile,2,0,1722.7799555871925,1533.0481359486027,Group stage
2014-06-23,Australia,Spain,0,3,1454.9613781132123,1624.880299015355,Group stage
2014-06-24,Greece,Côte d'Ivoire,2,1,1386.3992298718863,1513.6891496764897,Group stage
2014-06-24,Japan,Colombia,1,4,1477.990751891863,1486.7786841915229,Group stage
2014-06-24,Italy,Uruguay,0,1,1682.120024073442,1497.452982445926,Group stage
2014-06-24,Costa Rica,England,0,0,1504.731629687956,1614.8641693998889,Group stage
2014-06-25,Nigeria,Argentina,2,3,1467.7410416097164,1701.4301793323984,Group stage
2014-06-25,Bosnia and Herzegovina,IR Iran,3,1,1473.9781045587608,1404.8261372146294,Group stage
2014-06-25,Ecuador,France,0,0,1514.3157389571033,1669.6657252918553,Group stage
2014-06-25,Honduras,Switzerland,0,3,1424.3175975116271,1465.2244354050797,Group stage
2014-06-26,Algeria,Russia,1,1,1458.9917651074097,1474.0016210098609,Group stage
2014-06-26,Korea Republic,Belgium,0,1,1399.539310234936,1509.5658758906595,Group stage
2014-06-26,Portugal,Ghana,2,1,1579.5300612929627,1518.8980098843979,Group stage
2014-06-26,United States,Germany,0,1,1432.1724659534768,1755.0085485906811,Group stage
2014-06-28,Colombia,Uruguay,2,0,1514.070611519726,1521.2375889939497,Round of 16
2014-06-28,Brazil,Chile,1,1,1811.0502697246625,1520.9901897688321,Round of 16
2014-06-29,Costa Rica,Greece,1,1,1509.640108923853,1408.0122278957765,Round of 16
2014-06-29,Netherlands,Mexico,2,1,1734.8379017669631,1543.4133080712331,Round of 16
2014-06-30,Germany,Algeria,2,1,1759.3250403781378,1459.6825648006122,Round of 16
2014-06-30,France,Nigeria,2,0,1662.9530909277623,1461.1281622179777,Round of 16
2014-07-01,Belgium,United States,2,1,1520.6618180510861,1427.8559741660201,Round of 16
2014-07-01,Argentina,Switzerland,1,0,1708.0430587241372,1489.9428833433599,Round of 16
2014-07-04,Brazil,Colombia,2,1,1800.1210379899455,1538.5656185741698,Quarter-finals
2014-07-04,France,Germany,0,1,1674.3934488810817,1764.164834319701,Quarter-finals
2014-07-05,Netherlands,Costa Rica,0,0,1742.8180207616494,1505.0890361455592,Quarter-finals
2014-07-05,Argentina,Belgium,1,0,1715.1391230974991,1532.4867800149284,Quarter-finals
2014-07-08,Brazil,Germany,1,7,1805.9318134161176,1776.1203174222894,Semi-finals
2014-07-09,Netherlands,Argentina,0,0,1733.3097280640745,1723.4255335401297,Semi-finals
2014-07-12,Brazil,Netherlands,0,3,1762.5080363774873,1732.8546668453632,Third-place match
2014-07-13,Germany,Argentina,1,0,1819.5440944609197,1723.880594758841,Final
2018-06-14,Russia,Saudi Arabia,5,0,1473.3108213166583,1369.3507160685633,Group stage
2018-06-15,Portugal,Spain,3,3,1592.765856443362,1640.1830049322734,Group stage
2018-06-15,Morocco,IR Iran,0,1,1474.1056843720762,1385.5408912512344,Group stage
2018-06-15,Egypt,Uruguay,0,1,1473.389920058765,1496.742581939506,Group stage
2018-06-16,Croatia,Nigeria,2,0,1539.018796086606,1449.6878042646583,Group stage
2018-06-16,Peru,Denmark,0,1,1456.0713237273433,1538.5508106116765,Group stage
2018-06-16,Argentina,Iceland,1,1,1712.1780067186305,1500.0,Group stage
2018-06-16,France,Australia,2,1,1662.4379657784932,1439.6586721962938,Group stage
2018-06-17,Costa Rica,Serbia,0,1,1514.5973288431342,1492.2057002035708,Group stage
2018-06-17,Brazil,Switzerland,1,1,1732.1240430656073,1482.846818969998,Group stage
2018-06-17,Germany,Mexico,0,1,1831.2466825011302,1535.4331890765468,Group stage
2018-06-18,Sweden,Korea Republic,1,0,1563.725293865766,1388.4433680745094,Group stage
2018-06-18,Tunisia,England,1,2,1412.4259333549867,1609.955690163992,Group stage
2018-06-18,Belgium,Panama,3,0,1524.2003695722979,1500.0,Group stage
2018-06-19,Colombia,Japan,1,2,1532.7548431479977,1450.6988245636599,Group stage
2018-06-19,Russia,Egypt,3,1,1498.849229418791,1458.463733287509,Group stage
2018-06-19,Poland,Senegal,1,2,1506.5579236204608,1525.1604020271445,Group stage
2018-06-20,IR Iran,Spain,0,1,1405.5333476078797,1638.0128218715063,Group stage
2018-06-20,Uruguay,Saudi Arabia,1,0,1511.668768710762,1343.8123079664306,Group stage
2018-06-20,Portugal,Morocco,1,0,1594.9360395041292,1454.1132280154309,Group stage
2018-06-21,Argentina,Croatia,0,3,1703.464121498907,1556.9805072777792,Group stage
2018-06-21,France,Peru,1,0,1669.3863961286183,1443.7998638422127,Group stage
2018-06-21,Denmark,Australia,1,1,1550.822270496807,1432.7102418461686,Group stage
2018-06-22,Serbia,Switzerland,1,2,1509.235447491267,1492.6923292474992,Group stage
2018-06-22,Nigeria,Iceland,2,0,1431.7260930734851,1508.7138852197236,Group stage
2018-06-22,Brazil,Costa Rica,2,0,1722.278532788106,1497.567581555438,Group stage
2018-06-23,Belgium,Tunisia,5,2,1550.253198237427,1404.6544701505777,Group stage
2018-06-23,Korea Republic,Mexico,1,2,1379.8937732083953,1562.5021556914041,Group stage
2018-06-23,Germany,Sweden,2,1,1804.1777158862728,1572.27488873188,Group stage
2018-06-24,Japan,Senegal,2,2,1470.408917032316,1540.304543931201,Group stage
2018-06-24,England,Panama,6,1,1617.7271533684009,1473.947171334871,Group stage
2018-06-24,Poland,Colombia,0,3,1491.4137817164044,1513.0447506793416,Group stage
2018-06-25,IR Iran,Portugal,1,1,1398.8838615138395,1604.7841631070462,Group stage
2018-06-25,Spain,Morocco,2,2,1644.6623079655465,1444.265104412514,Group stage
2018-06-25,Uruguay,Russia,3,0,1520.4888230633323,1520.0719950880346,Group stage
2018-06-25,Saudi Arabia,Egypt,2,1,1334.9922536138602,1437.2409676182656,Group stage
2018-06-26,Nigeria,Argentina,1,2,1460.9588548425008,1664.3120282684845,Group stage
2018-06-26,Iceland,Croatia,1,2,1479.4811234507079,1596.1326005082017,Group stage
2018-06-26,Denmark,France,0,0,1545.5832928941595,1676.2473247408122,Group stage
2018-06-26,Australia,Peru,0,2,1437.9492194488162,1436.9389352300188,Group stage
2018-06-27,Korea Republic,Germany,2,0,1371.6058087352012,1810.8447049499453,Group stage
2018-06-27,Switzerland,Costa Rica,2,2,1509.4535927762831,1487.2353801823035,Group stage
2018-06-27,Serbia,Brazil,0,2,1492.474183962483,1732.6107341612405,Group stage
2018-06-27,Mexico,Sweden,0,3,1570.7901201645982,1565.6078996682077,Group stage
2018-06-28,Panama,Tunisia,1,2,1452.04914831412,1387.7465019284298,Group stage
2018-06-28,England,Belgium,0,1,1639.6251763891519,1567.1611664595748,Group stage
2018-06-28,Senegal,Colombia,0,1,1537.1284633211317,1539.3037494394619,Group stage
2018-06-28,Japan,Poland,0,1,1473.5849976423851,1465.1547829562842,Group stage
2018-06-30,Uruguay,Portugal,2,1,1548.45523071357,1596.275626035608,Round of 16
2018-06-30,France,Argentina,4,3,1670.498532975344,1671.8879469406788,Round of 16
2018-07-01,Croatia,Denmark,1,1,1606.953754872594,1551.3320846596278,Round of 16
2018-07-01,Spain,Russia,1,1,1636.3370588518085,1492.1055874377969,Round of 16
2018-07-02,Belgium,Japan,3,2,1586.4506962620196,1457.1968480800138,Round of 16
2018-07-02,Brazil,Mexico,2,0,1742.2411619953841,1542.3725135050668,Round of 16
2018-07-03,Colombia,England,1,1,1555.2035751206158,1620.335646586707,Round of 16
2018-07-03,Sweden,Switzerland,1,0,1594.025506327739,1508.431798768144,Round of 16
2018-07-06,Brazil,Belgium,1,2,1753.7799355736304,1596.7585444660747,Quarter-finals
2018-07-06,Uruguay,France,0,2,1566.6436394593559,1686.5625175119462,Quarter-finals
2018-07-07,Russia,Croatia,2,2,1498.390725228413,1604.4139433149192,Quarter-finals
2018-07-07,Sweden,England,0,2,1606.1616254950832,1617.3708535138765,Quarter-finals
2018-07-10,France,Belgium,1,0,1702.5928105234111,1619.5344736873728,Semi-finals
2018-07-11,Croatia,England,2,1,1599.6775113381705,1640.5968160164186,Semi-finals
2018-07-14,Belgium,England,2,0,1607.288213417974,1622.7210771811906,Third-place match
2018-07-15,France,Croatia,4,2,1714.83907079281,1617.5532501733985,Final
2022-11-20,Qatar,Ecuador,0,2,1500.0,1521.0283733211963,Group stage
2022-11-21,United States,Wales,1,1,1416.0310122021779,1514.1974789995827,Group stage
2022-11-21,Senegal,Netherlands,0,2,1521.2286376399777,1763.2386601572432,Group stage
2022-11-21,England,IR Iran,6,2,1597.6557133100578,1407.3923985852778,Group stage
2022-11-22,Argentina,Saudi Arabia,1,2,1655.8239624040766,1355.5695902575076,Group stage
2022-11-22,Mexico,Poland,0,0,1530.8337399268205,1481.5429325186556,Group stage
2022-11-22,France,Australia,4,1,1732.2891022919353,1413.8794316840558,Group stage
2022-11-22,Denmark,Tunisia,0,0,1553.8718962173025,1406.6743938213376,Group stage
2022-11-23,Belgium,Canada,1,0,1632.3535772891069,1450.8464635502655,Group stage
2022-11-23,Spain,Costa Rica,7,0,1630.0519210611924,1488.2571741904426,Group stage
2022-11-23,Germany,Japan,1,2,1766.3912711674363,1446.8889998759587,Group stage
2022-11-23,Morocco,Croatia,0,0,1452.5903535262519,1600.1032186742732,Group stage
2022-11-24,Brazil,Serbia,2,0,1731.0040063523322,1482.8437561283395,Group stage
2022-11-24,Portugal,Ghana,3,2,1578.087217289822,1505.6622147339986,Group stage
2022-11-24,Uruguay,Korea Republic,0,0,1550.613346447891,1416.0592425177101,Group stage
2022-11-24,Switzerland,Cameroon,1,0,1496.2956796008,1388.9250744856827,Group stage
2022-11-25,England,United States,0,0,1613.6961706401726,1420.43516642885,Group stage
2022-11-25,Netherlands,Ecuador,1,1,1772.7863337606207,1543.5775558740418,Group stage
2022-11-25,Qatar,Senegal,1,3,1477.4508174471546,1511.6809640366002,Group stage
2022-11-25,Wales,IR Iran,0,2,1509.7933247729106,1391.351941255163,Group stage
2022-11-26,Tunisia,Australia,0,1,1413.0746564131641,1406.1575037812127,Group stage
2022-11-26,Argentina,Mexico,2,0,1628.649304941681,1528.578921821587,Group stage
2022-11-26,France,Denmark,2,1,1740.0110301947784,1547.471633625476,Group stage
2022-11-26,Poland,Saudi Arabia,2,0,1483.797750623889,1382.7442477199031,Group stage
2022-11-27,Spain,Germany,1,1,1657.0294825582591,1738.7799300274608,Group stage
2022-11-27,Croatia,Canada,4,1,1593.6907613914414,1442.5195068250919,Group stage
2022-11-27,Belgium,Morocco,0,2,1640.6805340142805,1459.0028108090837,Group stage
2022-11-27,Japan,Costa Rica,0,1,1474.5003410159343,1461.2796126933758,Group stage
2022-11-28,Portugal,Uruguay,2,0,1590.7994079518612,1544.7091686911947,Group stage
2022-11-28,Brazil,Switzerland,1,0,1740.2837779121073,1507.5027008763668,Group stage
2022-11-28,Korea Republic,Ghana,2,3,1421.9634202744064,1492.9500240719594,Group stage
2022-11-28,Cameroon,Serbia,3,3,1377.7180532101158,1473.5639845685644,Group stage
2022-11-29,Netherlands,Qatar,2,0,1763.535544791147,1455.8077312309147,Group stage
2022-11-29,Ecuador,Senegal,1,2,1552.8283448435154,1533.3240502528402,Group stage
2022-11-29,Wales,England,0,3,1477.914552887379,1605.6131353840046,Group stage
2022-11-29,IR Iran,United States,0,1,1423.2307131406947,1428.5182016850179,Group stage
2022-11-30,Poland,Argentina,0,2,1501.0076250857808,1645.921704838242,Group stage
2022-11-30,Saudi Arabia,Mexico,1,2,1365.5343732580113,1511.3065219250261,Group stage
2022-11-30,Tunisia,France,1,0,1396.7561518437294,1747.952770988983,Group stage
2022-11-30,Australia,Denmark,1,0,1422.4760083506474,1539.5298928312714,Group stage
2022-12-01,Japan,Spain,2,1,1457.8917976677672,1660.7262568811984,Group stage
2022-12-01,Costa Rica,Germany,2,4,1477.888156041543,1735.0831557045215,Group stage
2022-12-01,Croatia,Belgium,0,0,1610.2225356699507,1605.1618963674487,Group stage
2022-12-01,Canada,Morocco,1,2,1425.9877325465825,1494.5214484559156,Group stage
2022-12-02,Serbia,Switzerland,2,3,1469.2587784864168,1500.8623558204715,Group stage
2022-12-02,Cameroon,Brazil,1,0,1382.0232592922634,1746.9241229680026,Group stage
2022-12-02,Ghana,Uruguay,0,2,1505.725712063697,1523.8744237309973,Group stage
2022-12-02,Korea Republic,Portugal,2,1,1409.1877322826688,1611.6341529120587,Group stage
2022-12-03,Netherlands,United States,3,1,1770.5130824771645,1444.2747226357872,Round of 16
2022-12-03,Argentina,Australia,2,1,1660.4541521341805,1443.6714378073211,Round of 16
2022-12-04,England,Senegal,3,0,1623.7615196508448,1550.2213138466293,Round of 16
2022-12-04,France,Poland,3,1,1719.6951216868056,1486.4751777898423,Round of 16
2022-12-05,Brazil,Korea Republic,4,1,1718.4135476014253,1433.5815901387616,Round of 16
2022-12-05,Japan,Croatia,1,1,1482.298599597835,1609.9895010974926,Round of 16
2022-12-06,Portugal,Switzerland,6,1,1587.2402950559658,1515.4109581250552,Round of 16
2022-12-06,Morocco,Spain,0,0,1507.4056614031124,1636.3194549511306,Round of 16
2022-12-09,Netherlands,Argentina,2,2,1776.878899445508,1667.5921870295751,Quarter-finals
