Date,Team 1,Team 2,Goals1,Goals2,Elo1,Elo2,Stage
1962-06-06,West Germany,Chile,2,0,1510.4190269649716,1551.8878189627803,Group stage
1962-06-06,Hungary,Argentina,0,0,1663.1082152027461,1495.36835848682,Group stage
1962-06-06,Brazil,Spain,2,1,1697.7375289941574,1503.0338147842738,Group stage
1962-06-06,Soviet Union,Uruguay,2,1,1526.7148994099082,1623.4993013715643,Group stage
1962-06-07,Yugoslavia,Colombia,5,0,1527.7045218844794,1492.196339255678,Group stage
1962-06-07,Italy,Switzerland,3,0,1561.205775535541,1466.2508878070607,Group stage
1962-06-07,Mexico,Czechoslovakia,3,1,1316.474579745445,1527.2369746029556,Group stage
1962-06-07,England,Bulgaria,0,0,1509.3326697067312,1463.635871586303,Group stage
1962-06-10,Yugoslavia,West Germany,1,0,1560.0380508897133,1537.2700638120125,Quarter-finals
1962-06-10,Czechoslovakia,Hungary,1,0,1490.235081899785,1655.9325586767688,Quarter-finals
1962-06-10,Brazil,England,3,1,1705.605114759246,1507.2403058137734,Quarter-finals
1962-06-10,Chile,Soviet Union,2,1,1525.0367821157395,1547.060165384336,Quarter-finals
1962-06-13,Czechoslovakia,Yugoslavia,3,1,1513.3354031893414,1574.9910446562053,Semi-finals
1962-06-13,Brazil,Chile,4,2,1717.2199351981312,1542.0496401748494,Semi-finals
1962-06-16,Chile,Yugoslavia,1,0,1529.2192078088694,1546.7761757741941,Third-place match
1962-06-17,Brazil,Czechoslovakia,3,1,1730.0503675641112,1541.5502720713525,Final
1966-07-11,England,Uruguay,0,0,1495.625485374888,1603.1540353971366,Group stage
1966-07-12,Soviet Union,Korea DPR,3,0,1530.047307325226,1500.0,Group stage
1966-07-12,Brazil,Bulgaria,2,0,1742.1724449060869,1465.7282354792608,Group stage
1966-07-12,West Germany,Switzerland,5,0,1522.3170700455205,1445.7183420959566,Group stage
1966-07-13,Portugal,Hungary,3,1,1500.0,1632.8322373872124,Group stage
1966-07-13,Italy,Chile,2,0,1581.7383212466452,1546.0270485500182,Group stage
1966-07-13,France,Mexico,1,1,1551.0608810967303,1353.4764724486156,Group stage
1966-07-13,Argentina,Spain,2,1,1502.5440150127972,1495.1662290191853,Group stage
1966-07-15,Korea DPR,Chile,1,1,1474.4155077441346,1524.485245165211,Group stage
1966-07-15,Hungary,Brazil,3,1,1600.0789041990504,1750.293821269534,Group stage
1966-07-15,Uruguay,France,2,1,1598.354436656036,1542.8304933057068,Group stage
1966-07-15,Spain,Switzerland,2,1,1479.5059375607539,1417.529078396667,Group stage
1966-07-16,Soviet Union,Italy,1,0,1555.6317995810914,1603.2801246314525,Group stage
1966-07-16,West Germany,Argentina,0,0,1550.50633374481,1518.2043064712286,Group stage
1966-07-16,England,Mexico,2,0,1500.4250841159887,1361.7068602396391,Group stage
1966-07-16,Portugal,Bulgaria,3,0,1532.753333188162,1457.6068591158137,Group stage
1966-07-19,Portugal,Brazil,3,1,1554.789945074029,1716.5189547132518,Group stage
1966-07-19,Uruguay,Mexico,0,0,1611.8190123799695,1346.8104994972812,Group stage
1966-07-19,Korea DPR,Italy,1,0,1476.7054733330576,1585.099492299611,Group stage
1966-07-19,Argentina,Switzerland,2,0,1519.6875984402755,1404.3533250375212,Group stage
1966-07-20,Soviet Union,Chile,2,1,1573.8124319129329,1522.195279576288,Group stage
1966-07-20,West Germany,Spain,2,1,1549.023041775763,1492.6816909198997,Group stage
1966-07-20,Hungary,Bulgaria,3,1,1633.8537707553328,1435.5702472299467,Group stage
1966-07-20,England,France,2,0,1515.3214448583467,1529.3659175817731,Group stage
1966-07-23,West Germany,Uruguay,4,0,1562.4509334847378,1601.5358551810095,Quarter-finals
1966-07-23,Soviet Union,Hungary,2,1,1587.452709883533,1645.4727113777933,Quarter-finals
1966-07-23,England,Argentina,1,0,1540.2910745843985,1536.0008861833398,Quarter-finals
1966-07-23,Portugal,Korea DPR,5,3,1589.2191684443956,1497.5413147659708,Quarter-finals
1966-07-25,West Germany,Soviet Union,2,1,1598.0356786301543,1606.1000660968002,Semi-finals
1966-07-26,England,Portugal,2,1,1556.0935141482644,1607.0292860441236,Semi-finals
1966-07-28,Portugal,Soviet Union,2,1,1588.700269062693,1589.7287540096293,Third-place match
1966-07-30,England,West Germany,4,2,1574.422531129695,1614.4069907173252,Final
1970-05-31,Mexico,Soviet Union,0,0,1357.093656696241,1573.6813906658322,Group stage
1970-06-02,Uruguay,Israel,2,0,1565.951110035593,1500.0,Group stage
1970-06-02,Peru,Bulgaria,3,2,1461.1034862312586,1423.9513066074862,Group stage
1970-06-02,England,Romania,1,0,1601.1724301552879,1461.7121764483081,Group stage
1970-06-03,West Germany,Morocco,2,1,1587.6570916917324,1500.0,Group stage
1970-06-03,Italy,Sweden,1,0,1564.2636508666978,1566.0928696710737,Group stage
1970-06-03,Brazil,Czechoslovakia,4,1,1682.0897313428852,1529.4281947293769,Group stage
1970-06-03,Belgium,El Salvador,3,0,1401.4670105062414,1500.0,Group stage
1970-06-06,Peru,Morocco,3,0,1475.3990566603668,1487.953232409588,Group stage
1970-06-06,Soviet Union,Belgium,4,1,1564.825652085256,1437.2015726575632,Group stage
1970-06-06,Uruguay,Italy,0,0,1585.4493098326607,1580.347888727376,Group stage
1970-06-06,Romania,Czechoslovakia,2,1,1451.8105005872849,1512.9961992412489,Group stage
1970-06-07,Mexico,El Salvador,4,0,1365.9493952768173,1464.2654378486782,Group stage
1970-06-07,West Germany,Bulgaria,5,2,1599.7038592821443,1409.655736178378,Group stage
1970-06-07,Sweden,Israel,1,1,1550.0086318103956,1480.5018002029324,Group stage
1970-06-07,Brazil,England,1,0,1698.5217268310132,1611.0741060163111,Group stage
1970-06-10,Soviet Union,El Salvador,2,0,1582.97929769955,1423.4443982782002,Group stage
1970-06-10,Sweden,Uruguay,1,0,1546.8497541787044,1585.2143975903923,Group stage
1970-06-10,Brazil,Romania,3,2,1710.5775533703195,1470.5994340153782,Group stage
1970-06-10,West Germany,Peru,3,1,1613.752292165033,1504.4103635877152,Group stage
1970-06-11,England,Czechoslovakia,1,0,1599.0182794770049,1494.2072658131556,Group stage
1970-06-11,Bulgaria,Morocco,1,1,1395.6073032954894,1458.9419254822396,Group stage
1970-06-11,Italy,Israel,0,0,1580.5828009696443,1483.6606778346236,Group stage
1970-06-11,Mexico,Belgium,1,0,1406.7704348472953,1419.0479270432693,Group stage
1970-06-14,West Germany,England,3,2,1630.4390813795865,1610.3328320543224,Quarter-finals
1970-06-14,Uruguay,Soviet Union,1,0,1567.4547863619894,1596.6733542916418,Quarter-finals
1970-06-14,Italy,Mexico,4,1,1576.2316611107667,1423.3355990300627,Quarter-finals
1970-06-14,Brazil,Peru,4,2,1717.0025204057483,1487.7235743731617,Quarter-finals
1970-06-17,Brazil,Uruguay,3,1,1727.1231105811346,1584.7971879474148,Semi-finals
1970-06-17,Italy,West Germany,4,3,1592.6479865276526,1645.514186636681,Semi-finals
1970-06-20,West Germany,Uruguay,1,0,1627.098225034165,1570.113336474544,Third-place match
1970-06-21,Brazil,Italy,4,1,1741.8069620540055,1611.0639481301687,Final
1974-06-13,Brazil,Yugoslavia,0,0,1759.741033436967,1529.9683350330454,First round
1974-06-14,Zaire,Scotland,0,2,1500.0,1434.1639793623578,First round
1974-06-14,Germany DR,Australia,2,0,1500.0,1500.0,First round
1974-06-14,West Germany,Chile,1,0,1640.497255239096,1508.5550016056877,First round
1974-06-15,Poland,Argentina,3,2,1483.523528419433,1520.198446619474,First round
1974-06-15,Italy,Haiti,3,1,1593.1298767472072,1500.0,First round
1974-06-15,Sweden,Bulgaria,0,0,1564.6093654071074,1398.4920869604923,First round
1974-06-15,Uruguay,Netherlands,0,2,1556.714306269613,1460.5460648329472,First round
1974-06-18,Australia,West Germany,0,3,1476.0,1650.6972662433063,First round
1974-06-18,Yugoslavia,Zaire,9,0,1539.2363960502566,1471.5058706482205,First round
1974-06-18,Scotland,Brazil,0,0,1462.6581087141374,1750.4729724197557,First round
1974-06-18,Chile,Germany DR,1,1,1498.3549906014773,1524.0,First round
1974-06-19,Netherlands,Sweden,0,0,1491.0245212111124,1557.4935270657081,First round
1974-06-19,Haiti,Poland,0,7,1482.283411293177,1501.2062255366563,First round
1974-06-19,Argentina,Italy,1,1,1502.5157495022506,1610.84646545403,First round
1974-06-19,Bulgaria,Uruguay,1,1,1405.6079253018916,1526.2358498914477,First round
1974-06-22,Scotland,Yugoslavia,1,1,1473.531944645611,1581.2257932303467,First round
