Date,Match #,Stage,Team 1,Team 2,Elo1,Elo2,Goals1,Goals2,Attack_Rating_T1,Attack_Rating_T2,Defense_Rating_T1,Defense_Rating_T2,Form_Last5_T1,Form_Last5_T2,Form_Weighted_T1,Form_Weighted_T2
6/15/2018,3,Group Stage,Morocco,Iran,1732.19,1808.95,0,1,1.83,1.33,0.5,0.67,13,8,22.52,14.47
6/15/2018,4,Group Stage,Portugal,Spain,1883.41,1975.34,3,3,3.5,3.88,0.5,0.38,15,18,28.25,35.56
6/16/2018,5,Group Stage,Croatia,Nigeria,1816.65,1705.43,2,0,1.5,1.25,0.38,0.75,14,11,25.43,18.76
6/16/2018,6,Group Stage,France,Australia,1937.24,1733.48,2,1,2.13,2.33,0.63,0.67,15,13,29.06,22.54
6/16/2018,7,Group Stage,Argentina,Iceland,1920.86,1708.68,1,1,1.29,1.5,0.86,1,12,12,23.05,20.5
6/16/2018,8,Group Stage,Peru,Denmark,1854.2,1755.69,0,1,1.4,2.25,1.4,0.75,9,14,16.69,24.58
6/17/2018,9,Group Stage,Costa Rica,Serbia,1723.55,1725.17,0,1,1.25,1.83,0.75,1,10,13,17.24,22.43
6/17/2018,10,Group Stage,Brazil,Switzerland,2032.96,1825.96,1,1,2.4,2.25,0.4,0.5,15,16,30.49,29.22
6/17/2018,11,Group Stage,Germany,Mexico,1958.01,1834.09,0,1,3.13,2.38,0.38,0.63,19,13,37.2,23.84
6/18/2018,12,Group Stage,Sweden,South Korea,1739.75,1748.51,1,0,2.25,1.83,0.88,1.17,15,11,26.1,19.23
6/18/2018,13,Group Stage,Tunisia,England,1691.19,1906.22,1,2,1.5,2.5,1,0.5,11,18,18.6,34.31
6/18/2018,14,Group Stage,Belgium,Panama,1890.04,1682.27,3,0,4.38,1.17,0.38,1.5,19,12,35.91,20.19
6/19/2018,15,Group Stage,Poland,Senegal,1795.87,1752.17,1,2,2.38,1.33,0.88,0.67,15,12,26.94,21.03
6/19/2018,16,Group Stage,Russia,Egypt,1732.65,1695.34,3,1,2.13,1.33,0.63,0.83,16,10,27.72,16.95
6/19/2018,17,Group Stage,Colombia,Japan,1865.61,1747.58,1,2,1.57,1.83,0.86,0.83,12,15,22.39,26.21
6/20/2018,18,Group Stage,Portugal,Morocco,1883.41,1732.19,1,0,3.5,1.83,0.5,0.5,18,13,33.9,22.52
6/20/2018,19,Group Stage,Uruguay,Saudi Arabia,1814.03,1653.51,1,0,2.4,1.2,0.6,1.4,18,9,32.65,14.88
6/20/2018,20,Group Stage,Iran,Spain,1808.95,1975.34,0,1,1.33,3.88,0.67,0.38,11,21,19.9,41.48
6/21/2018,21,Group Stage,Argentina,Croatia,1920.86,1816.65,0,3,1.29,1.5,0.86,0.38,15,17,28.81,30.88
6/21/2018,22,Group Stage,France,Peru,1937.24,1854.2,1,0,2.13,1.4,0.63,1.4,18,9,34.87,16.69
6/21/2018,23,Group Stage,Denmark,Australia,1755.69,1733.48,1,1,2.25,2.33,0.75,0.67,17,16,29.85,27.74
6/22/2018,24,Group Stage,Brazil,Costa Rica,2032.96,1723.55,2,0,2.4,1.25,0.4,0.75,18,10,36.59,17.24
6/22/2018,25,Group Stage,Nigeria,Iceland,1705.43,1708.68,2,0,1.25,1.5,0.75,1,14,12,23.88,20.5
6/22/2018,26,Group Stage,Serbia,Switzerland,1725.17,1825.96,1,2,1.83,2.25,1,0.5,16,19,27.6,34.69
6/23/2018,27,Group Stage,Belgium,Tunisia,1890.04,1691.19,5,2,4.38,1.5,0.38,1,22,11,41.58,18.6
6/23/2018,28,Group Stage,Germany,Sweden,1958.01,1739.75,2,1,3.13,2.25,0.38,0.88,22,18,43.08,31.32
6/23/2018,29,Group Stage,South Korea,Mexico,1748.51,1834.09,1,2,1.83,2.38,1.17,0.63,14,16,24.48,29.35
6/24/2018,30,Group Stage,Japan,Senegal,1747.58,1752.17,2,2,1.83,1.33,0.83,0.67,18,15,31.46,26.28
6/24/2018,31,Group Stage,Poland,Colombia,1795.87,1865.61,0,3,2.38,1.57,0.88,0.86,18,15,32.33,27.98
6/24/2018,32,Group Stage,England,Panama,1906.22,1682.27,6,1,2.5,1.17,0.5,1.5,21,12,40.03,20.19
6/25/2018,33,Group Stage,Spain,Morocco,1975.34,1732.19,2,2,3.88,1.83,0.38,0.5,24,13,47.41,22.52
6/25/2018,34,Group Stage,Iran,Portugal,1808.95,1883.41,1,1,1.33,3.5,0.67,0.5,14,21,25.33,39.55
6/25/2018,35,Group Stage,Saudi Arabia,Egypt,1653.51,1695.34,2,1,1.2,1.33,1.4,0.83,12,10,19.84,16.95
6/25/2018,36,Group Stage,Uruguay,Russia,1814.03,1732.65,3,0,2.4,2.13,0.6,0.63,21,16,38.09,27.72
6/26/2018,37,Group Stage,Iceland,Croatia,1708.68,1816.65,1,2,1.5,1.5,1,0.38,15,20,25.63,36.33
6/26/2018,38,Group Stage,Denmark,France,1755.69,1937.24,0,0,2.25,2.13,0.75,0.63,20,21,35.11,40.68
6/26/2018,39,Group Stage,Nigeria,Argentina,1705.43,1920.86,1,2,1.25,1.29,0.75,0.86,17,15,28.99,28.81
6/26/2018,40,Group Stage,Australia,Peru,1733.48,1854.2,0,2,2.33,1.4,0.67,1.4,19,9,32.94,16.69
6/27/2018,41,Group Stage,Serbia,Brazil,1725.17,2032.96,0,2,1.83,2.4,1,0.4,19,21,32.78,42.69
6/27/2018,42,Group Stage,South Korea,Germany,1748.51,1958.01,2,0,1.83,3.13,1.17,0.38,17,25,29.72,48.95
6/27/2018,43,Group Stage,Switzerland,Costa Rica,1825.96,1723.55,2,2,2.25,1.25,0.5,0.75,22,10,40.17,17.24
6/27/2018,44,Group Stage,Mexico,Sweden,1834.09,1739.75,0,3,2.38,2.25,0.63,0.88,19,21,34.85,36.53
6/28/2018,45,Group Stage,Japan,Poland,1747.58,1795.87,0,1,1.83,2.38,0.83,0.88,21,18,36.7,32.33
6/28/2018,46,Group Stage,Panama,Tunisia,1682.27,1691.19,1,2,1.17,1.5,1.5,1,15,11,25.23,18.6
6/28/2018,47,Group Stage,Senegal,Colombia,1752.17,1865.61,0,1,1.33,1.57,0.67,0.86,15,18,26.28,33.58
6/28/2018,48,Group Stage,England,Belgium,1906.22,1890.04,0,1,2.5,4.38,0.5,0.38,24,25,45.75,47.25
6/30/2018,49,Round of 16,France,Argentina,1937.24,1920.86,4,3,2.13,1.29,0.63,0.86,24,15,46.49,28.81
6/30/2018,50,Round of 16,Uruguay,Portugal,1814.03,1883.41,2,1,2.4,3.5,0.6,0.5,24,21,43.54,39.55
7/1/2018,51,Round of 16,Spain,Russia,1975.34,1732.65,1,1,3.88,2.13,0.38,0.63,27,16,53.33,27.72
7/1/2018,52,Round of 16,Croatia,Denmark,1816.65,1755.69,1,1,1.5,2.25,0.38,0.75,23,20,41.78,35.11
7/2/2018,53,Round of 16,Belgium,Japan,1890.04,1747.58,3,2,4.38,1.83,0.38,0.83,28,21,52.92,36.7
7/2/2018,54,Round of 16,Brazil,Mexico,2032.96,1834.09,2,0,2.4,2.38,0.4,0.63,24,19,48.79,34.85
