Date,Match #,Stage,Team 1,Team 2,Elo1,Elo2,Goals1,Goals2
6/18/2026,26,Group B,Switzerland,Bosnia-Herzegovina,1654.94,1381.18,4,1
6/18/2026,27,Group B,Canada,Qatar,1572.13,1438.82,6,0
6/18/2026,28,Group A,Mexico,South Korea,1721.78,1591.75,1,0
6/19/2026,29,Group D,USA,Australia,1709.59,1584.55,2,0
6/19/2026,30,Group C,Scotland,Morocco,1504.41,1769.98,0,1
6/19/2026,31,Group C,Brazil,Haiti,1772.01,1271,3,0
6/19/2026,32,Group D,Turkiye,Paraguay,1550.13,1517.39,0,1
6/20/2026,33,Group F,Netherlands,Sweden,1764.4,1517.99,5,1
6/20/2026,34,Group E,Germany,Cote d'Ivoire,1760.46,1551.71,2,1
6/20/2026,35,Group E,Ecuador,Curacao,1558.35,1299.41,0,0
6/20/2026,36,Group F,Tunisia,Japan,1437.69,1681.26,0,4
6/21/2026,37,Group H,Spain,Saudi Arabia,1864.32,1426.71,4,0
6/21/2026,38,Group G,Belgium,IR Iran,1727.88,1611.18,0,0
6/21/2026,39,Group H,Uruguay,Cabo Verde,1649.96,1401.77,2,2
6/21/2026,40,Group G,New Zealand,Egypt,1277.34,1583.37,1,3
6/22/2026,41,Group J,Argentina,Austria,1889.06,1612.86,2,0
6/22/2026,42,Group I,France,Iraq,1887.11,1426.53,3,0
6/22/2026,43,Group I,Norway,Senegal,1577.18,1667.66,3,2
6/22/2026,44,Group J,Jordan,Algeria,1372.29,1559.24,1,2
6/23/2026,45,Group K,Portugal,Uzbekistan,1755.09,1444.48,5,0
